Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-04-29","2,718","22,768","9.66","256","478","299","45","98","1,766"
"2018-04-30","1,813","7,500","3.47","10","745","216","0","0","660"
"2018-05-01","2,242","15,628","7.86","12","717","203","22","53","1,143"
"2018-05-02","1,728","5,771","2.77","9","1,285","155","0","0","523"
"2018-05-03","2,038","11,526","6.04","11","1,164","203","11","29","909"
"2018-05-04","2,047","11,371","4.98","21","687","286","10","3","964"
"2018-05-05","1,945","8,593","3.69","16","655","300","0","0","855"
"2018-05-06","2,072","11,025","5.9","4","665","221","5","44","961"
"2018-05-07","1,983","9,730","4.18","11","704","299","0","0","905"
"2018-05-08","2,142","14,516","7.25","18","723","165","13","59","1,001"
"2018-05-09","2,505","20,827","10.23","20","613","294","34","56","1,506"
"2018-05-10","1,768","7,194","3.28","12","755","158","16","10","596"
"2018-05-11","2,087","10,467","4.55","10","627","244","32","13","986"
"2018-05-12","2,078","9,764","4.2","21","542","367","0","0","1,062"
"2018-05-13","2,171","10,991","4.73","17","514","433","0","0","1,219"
"2018-05-14","1,855","7,383","3.24","7","795","234","5","5","714"
"2018-05-15","2,500","19,668","9.73","14","497","372","9","52","1,538"
"2018-05-16","2,239","13,212","5.83","12","573","338","23","21","1,228"
"2018-05-17","2,267","13,585","6.35","11","573","344","10","22","1,242"
"2018-05-18","2,373","16,054","6.96","29","555","362","29","25","1,396"
"2018-05-19","2,491","18,438","9.33","17","552","359","16","45","1,531"
"2018-05-20","1,956","6,518","2.8","14","606","298","0","0","878"
"2018-05-21","2,041","9,962","4.28","23","672","303","12","12","982"
"2018-05-22","2,404","16,371","7.38","30","562","349","39","22","1,428"
"2018-05-23","2,026","11,255","4.84","32","660","244","28","11","931"
"2018-05-24","2,254","12,779","5.49","14","540","374","16","15","1,265"
"2018-05-25","2,022","10,926","4.73","16","1,159","228","32","21","926"
"2018-05-26","2,123","10,661","4.37","3","661","226","23","47","1,031"
"2018-05-27","2,082","9,941","4.14","0","576","239","35","30","1,012"
"2018-05-28","2,185","12,967","5.58","1","735","339","43","0","1,167"
"2018-05-29","2,251","13,934","6","23","605","303","49","24","1,235"

