Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-05-29","2,251","13,934","6","23","605","303","49","24","1,235"
"2018-05-30","2,121","11,035","4.74","27","599","367","0","0","1,094"
"2018-05-31","2,345","15,206","6.54","26","571","300","45","35","1,334"
"2018-06-01","2,094","12,860","5.55","63","659","198","41","37","980"
"2018-06-02","2,343","18,656","8.41","115","638","213","41","71","1,281"
"2018-06-03","1,312","0","0","0","1,440","0","0","0","0"
"2018-06-04","1,536","0","0","0","1,391","13","14","22","267"
"2018-06-05","1,312","0","0","0","1,440","0","0","0","0"
"2018-06-06","1,312","0","0","0","1,440","0","0","0","0"
"2018-06-07","2,340","12,880","5.88","23","1,049","347","22","22","1,338"
"2018-06-08","2,267","15,178","7.75","68","654","208","25","59","1,169"
"2018-06-09","3,110","23,504","10.22","113","424","343","102","112","2,262"
"2018-06-10","1,658","4,001","1.72","15","737","176","0","0","469"
"2018-06-11","2,273","15,998","7.27","31","591","245","24","57","1,217"
"2018-06-12","2,151","12,182","5.24","32","1,094","272","33","16","1,097"
"2018-06-13","2,161","13,027","5.96","18","1,122","260","33","25","1,110"
"2018-06-14","2,069","9,154","3.94","19","682","284","15","9","983"
"2018-06-15","1,746","6,818","2.93","9","573","222","11","10","752"

