Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-01-01","1,877","7,931","3.54","2","691","229","4","10","747"
"2018-01-02","2,264","11,903","5.49","14","1,073","353","12","2","1,193"
"2018-01-03","2,134","12,161","6.12","12","544","277","1","31","1,054"
"2018-01-04","1,686","2,400","1.03","8","442","130","0","0","385"
"2018-01-05","1,468","358","0.15","1","310","57","0","0","154"
"2018-01-06","1,346","306","0.13","1","1,426","14","0","0","38"
"2018-01-07","1,533","2,203","0.95","4","767","103","0","0","283"
"2018-01-08","1,624","3,797","1.63","5","683","157","0","0","433"
"2018-01-09","1,841","8,264","3.66","15","590","199","6","14","693"
"2018-01-10","1,991","8,349","3.63","8","553","332","0","0","936"
"2018-01-11","1,918","8,183","3.54","7","660","274","0","0","807"
"2018-01-12","2,168","12,784","5.72","11","652","271","11","28","1,098"
"2018-01-13","2,177","11,653","4.91","11","552","270","16","30","1,116"
"2018-01-14","1,476","1,432","0.62","2","812","78","0","0","212"
"2018-01-15","1,772","7,599","3.89","3","775","112","6","28","571"
"2018-01-16","1,807","6,885","3.29","11","693","211","3","7","650"
"2018-01-17","2,135","12,671","6.37","14","674","246","10","32","1,039"
"2018-01-18","2,199","14,252","7.41","18","597","269","3","32","1,117"
"2018-01-19","2,044","8,655","3.97","11","627","275","16","7","959"
"2018-01-20","2,704","19,810","8.71","26","628","394","17","76","1,770"
"2018-01-21","2,279","11,824","5.08","21","1,072","309","41","18","1,252"
"2018-01-22","1,843","7,943","3.63","8","1,200","240","0","0","720"
"2018-01-23","1,865","7,958","3.58","12","654","251","0","0","738"
"2018-01-24","2,267","14,646","7.4","13","631","238","22","49","1,196"
"2018-01-25","2,064","12,006","6.29","12","683","224","3","30","947"
"2018-01-26","2,381","19,215","8.82","20","840","298","19","63","1,367"
"2018-01-27","2,735","25,819","10.9","154","473","280","71","95","1,800"
"2018-01-28","1,889","9,787","4.27","4","635","200","14","7","740"
"2018-01-29","2,151","10,375","4.81","12","657","297","0","0","903"
"2018-01-30","2,221","10,159","4.55","33","570","309","14","14","1,169"
"2018-01-31","1,394","947","0.41","1","888","38","0","0","104"

