Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-01-31","1,394","947","0.41","1","888","38","0","0","104"
"2018-02-01","2,199","9,945","4.43","14","627","241","11","46","1,107"
"2018-02-02","1,995","8,777","3.94","9","678","318","0","0","916"
"2018-02-03","2,186","10,966","4.61","35","599","207","25","54","1,099"
"2018-02-04","1,969","4,693","1.95","8","620","245","10","14","851"
"2018-02-05","1,952","9,059","4.2","11","667","283","0","0","849"
"2018-02-06","2,153","14,152","6.6","14","638","264","17","32","1,083"
"2018-02-07","1,971","9,282","4.04","14","641","312","0","0","899"
"2018-02-08","1,829","7,045","3.25","7","669","240","0","0","684"
"2018-02-09","2,252","15,224","7.31","26","602","333","12","36","1,249"
"2018-02-10","1,819","6,905","2.97","14","617","237","0","0","683"
"2018-02-11","2,366","12,326","5.32","25","657","295","37","30","1,331"
"2018-02-12","2,159","14,019","7.09","12","576","201","17","41","1,034"
"2018-02-13","1,837","7,505","3.34","14","1,209","210","2","7","679"
"2018-02-14","1,920","10,060","5.07","20","747","166","2","28","752"
"2018-02-15","2,229","12,863","6.42","18","653","243","13","32","1,138"
"2018-02-16","1,768","7,916","3.65","15","794","130","18","18","578"
"2018-02-17","2,547","19,683","9.5","29","518","369","11","50","1,587"
"2018-02-18","2,396","14,912","7.12","28","557","375","5","30","1,407"
"2018-02-19","1,781","7,393","3.43","17","761","168","0","0","577"
"2018-02-20","1,376","515","0.22","2","924","28","0","0","76"
"2018-02-21","2,385","18,783","9.71","28","640","238","21","59","1,316"
"2018-02-22","1,908","8,414","3.89","19","707","236","6","14","794"
"2018-02-23","1,829","7,806","3.46","14","775","190","4","16","662"
"2018-02-24","2,051","9,138","2.95","23","1,152","252","9","27","966"
"2018-02-25","2,145","14,494","6.28","107","662","207","33","45","1,048"
"2018-02-26","2,056","11,583","6.01","13","661","208","4","24","910"
"2018-02-27","1,849","7,195","3.43","6","737","224","2","9","701"
"2018-02-28","1,756","6,164","2.98","9","733","167","6","15","568"
"2018-03-01","2,211","13,770","5.95","19","633","307","32","13","1,167"
"2018-03-02","2,408","16,490","7.27","40","566","320","42","31","1,400"

